@relation balloons
@attribute 'f1' real
@attribute 'f2' real
@attribute 'f3' real
@attribute 'f4' real
@attribute 'clase' {0,1}
@data
0.968246,-0.968246,0.968246,0.968246,1
0.968246,-0.968246,0.968246,-0.968246,1
0.968246,-0.968246,-0.968246,0.968246,1
0.968246,-0.968246,-0.968246,-0.968246,1
0.968246,0.968246,0.968246,0.968246,1
0.968246,0.968246,0.968246,-0.968246,0
0.968246,0.968246,-0.968246,0.968246,0
0.968246,0.968246,-0.968246,-0.968246,0
-0.968246,-0.968246,0.968246,0.968246,1
-0.968246,-0.968246,0.968246,-0.968246,0
-0.968246,-0.968246,-0.968246,0.968246,0
-0.968246,-0.968246,-0.968246,-0.968246,0
-0.968246,0.968246,0.968246,0.968246,1
-0.968246,0.968246,0.968246,-0.968246,0
-0.968246,0.968246,-0.968246,0.968246,0
-0.968246,0.968246,-0.968246,-0.968246,0
