	f1	f2	f3	f4	f5	f6	clase
1	-2.25112	-0.921841	-1.10776	-0.662544	-0.877113	-1.09048	0
2	-2.25112	-0.921841	-0.672625	-1.53869	-0.877113	-1.09048	0
3	-2.25112	-0.921841	-0.672625	-1.53869	-0.444265	-1.53524	0
4	-2.25112	-0.921841	-0.672625	-1.53869	-0.444265	-1.09048	0
5	-2.25112	-0.921841	-0.672625	-1.10062	-0.877113	-1.53524	0
6	-2.25112	-0.921841	-0.672625	-1.10062	-0.877113	-0.645712	0
7	-2.25112	-0.921841	-0.672625	-1.10062	-0.444265	-1.53524	0
8	-2.25112	-0.921841	-0.672625	-1.10062	-0.444265	-1.09048	0
9	-2.25112	-0.921841	-0.672625	-1.10062	-0.444265	-0.645712	0
10	-2.25112	-0.921841	-0.672625	-0.662544	-0.877113	-1.09048	0
11	-2.25112	-0.921841	-0.672625	-0.662544	-0.444265	-1.09048	0
12	-2.25112	-0.921841	-0.672625	-0.662544	-0.444265	-0.645712	0
13	-2.25112	-0.921841	-0.672625	-0.662544	-0.444265	-0.200949	0
14	-2.25112	-0.921841	-0.672625	-0.22447	-0.444265	-0.645712	0
15	-2.25112	-0.921841	-0.237484	-1.53869	-0.877113	-1.53524	0
16	-2.25112	-0.921841	-0.237484	-1.53869	-0.877113	-1.09048	0
17	-2.25112	-0.921841	-0.237484	-1.53869	-0.444265	-1.09048	0
18	-2.25112	-0.921841	-0.237484	-1.53869	-0.0114167	-1.53524	0
19	-2.25112	-0.921841	-0.237484	-1.53869	-0.0114167	-1.09048	0
20	-2.25112	-0.921841	-0.237484	-1.10062	-0.877113	-1.53524	0
21	-2.25112	-0.921841	-0.237484	-1.10062	-0.877113	-1.09048	0
22	-2.25112	-0.921841	-0.237484	-1.10062	-0.877113	-0.645712	0
23	-2.25112	-0.921841	-0.237484	-1.10062	-0.444265	-1.53524	0
24	-2.25112	-0.921841	-0.237484	-1.10062	-0.444265	-0.645712	0
25	-2.25112	-0.921841	-0.237484	-1.10062	-0.0114167	-1.53524	0
26	-2.25112	-0.921841	-0.237484	-1.10062	-0.0114167	-1.09048	0
27	-2.25112	-0.921841	-0.237484	-1.10062	-0.0114167	-0.645712	0
28	-2.25112	-0.921841	-0.237484	-0.662544	-0.877113	-1.09048	0
29	-2.25112	-0.921841	-0.237484	-0.662544	-0.877113	-0.645712	0
30	-2.25112	-0.921841	-0.237484	-0.662544	-0.444265	-1.09048	0
31	-2.25112	-0.921841	-0.237484	-0.662544	-0.444265	-0.200949	0
32	-2.25112	-0.921841	-0.237484	-0.662544	-0.0114167	-1.09048	0
33	-2.25112	-0.921841	-0.237484	-0.662544	-0.0114167	-0.645712	0
34	-2.25112	-0.921841	-0.237484	-0.662544	-0.0114167	-0.200949	0
35	-2.25112	-0.921841	-0.237484	-0.22447	-0.877113	-0.645712	0
36	-2.25112	-0.921841	-0.237484	-0.22447	-0.444265	-0.645712	0
37	-2.25112	-0.921841	-0.237484	-0.22447	-0.0114167	-0.645712	0
38	-2.25112	-0.921841	-0.237484	-0.22447	-0.0114167	-0.200949	0
39	-2.25112	-0.921841	-0.237484	-0.22447	-0.0114167	0.243815	0
40	-2.25112	-0.921841	-0.237484	0.213603	-0.0114167	-0.200949	0
41	-2.25112	-0.921841	0.197656	-1.53869	-0.444265	-1.53524	0
42	-2.25112	-0.921841	0.197656	-1.53869	-0.444265	-1.09048	0
43	-2.25112	-0.921841	0.197656	-1.53869	-0.0114167	-1.09048	0
44	-2.25112	-0.921841	0.197656	-1.53869	0.421431	-1.53524	0
45	-2.25112	-0.921841	0.197656	-1.53869	0.421431	-1.09048	0
46	-2.25112	-0.921841	0.197656	-1.10062	-0.444265	-1.53524	0
47	-2.25112	-0.921841	0.197656	-1.10062	-0.444265	-1.09048	0
48	-2.25112	-0.921841	0.197656	-1.10062	-0.444265	-0.645712	0
49	-2.25112	-0.921841	0.197656	-1.10062	-0.0114167	-1.53524	0
50	-2.25112	-0.921841	0.197656	-1.10062	-0.0114167	-0.645712	0
51	-2.25112	-0.921841	0.197656	-1.10062	0.421431	-1.53524	0
52	-2.25112	-0.921841	0.197656	-1.10062	0.421431	-1.09048	0
53	-2.25112	-0.921841	0.197656	-1.10062	0.421431	-0.645712	0
54	-2.25112	-0.921841	0.197656	-0.662544	-0.444265	-1.09048	0
55	-2.25112	-0.921841	0.197656	-0.662544	-0.444265	-0.645712	0
56	-2.25112	-0.921841	0.197656	-0.662544	-0.444265	-0.200949	0
57	-2.25112	-0.921841	0.197656	-0.662544	-0.0114167	-1.09048	0
58	-2.25112	-0.921841	0.197656	-0.662544	-0.0114167	-0.200949	0
59	-2.25112	-0.921841	0.197656	-0.662544	0.421431	-1.09048	0
60	-2.25112	-0.921841	0.197656	-0.662544	0.421431	-0.645712	0
61	-2.25112	-0.921841	0.197656	-0.662544	0.421431	-0.200949	0
62	-2.25112	-0.921841	0.197656	-0.22447	-0.444265	-0.645712	0
63	-2.25112	-0.921841	0.197656	-0.22447	-0.444265	-0.200949	0
64	-2.25112	-0.921841	0.197656	-0.22447	-0.0114167	-0.645712	0
65	-2.25112	-0.921841	0.197656	-0.22447	-0.0114167	0.243815	0
66	-2.25112	-0.921841	0.197656	-0.22447	0.421431	-0.645712	0
67	-2.25112	-0.921841	0.197656	-0.22447	0.421431	-0.200949	0
68	-2.25112	-0.921841	0.197656	-0.22447	0.421431	0.243815	0
69	-2.25112	-0.921841	0.197656	0.213603	-0.444265	-0.200949	0
70	-2.25112	-0.921841	0.197656	0.213603	-0.0114167	-0.200949	0
71	-2.25112	-0.921841	0.197656	0.213603	0.421431	-0.200949	0
72	-2.25112	-0.921841	0.197656	0.213603	0.421431	0.243815	0
73	-2.25112	-0.921841	0.197656	0.213603	0.421431	0.688578	0
74	-2.25112	-0.921841	0.197656	0.651676	0.421431	0.243815	0
75	-2.25112	-0.921841	0.632796	-1.53869	-0.0114167	-1.53524	0
76	-2.25112	-0.921841	0.632796	-1.53869	-0.0114167	-1.09048	0
77	-2.25112	-0.921841	0.632796	-1.53869	0.421431	-1.09048	0
78	-2.25112	-0.921841	0.632796	-1.53869	0.854279	-1.53524	0
79	-2.25112	-0.921841	0.632796	-1.53869	0.854279	-1.09048	0
80	-2.25112	-0.921841	0.632796	-1.10062	-0.0114167	-1.53524	0
81	-2.25112	-0.921841	0.632796	-1.10062	-0.0114167	-1.09048	0
82	-2.25112	-0.921841	0.632796	-1.10062	-0.0114167	-0.645712	0
83	-2.25112	-0.921841	0.632796	-1.10062	0.421431	-1.53524	0
84	-2.25112	-0.921841	0.632796	-1.10062	0.421431	-0.645712	0
85	-2.25112	-0.921841	0.632796	-1.10062	0.854279	-1.53524	0
86	-2.25112	-0.921841	0.632796	-1.10062	0.854279	-1.09048	0
87	-2.25112	-0.921841	0.632796	-1.10062	0.854279	-0.645712	0
88	-2.25112	-0.921841	0.632796	-0.662544	-0.0114167	-1.09048	0
89	-2.25112	-0.921841	0.632796	-0.662544	-0.0114167	-0.645712	0
90	-2.25112	-0.921841	0.632796	-0.662544	-0.0114167	-0.200949	0
91	-2.25112	-0.921841	0.632796	-0.662544	0.421431	-1.09048	0
92	-2.25112	-0.921841	0.632796	-0.662544	0.421431	-0.200949	0
93	-2.25112	-0.921841	0.632796	-0.662544	0.854279	-1.09048	0
94	-2.25112	-0.921841	0.632796	-0.662544	0.854279	-0.645712	0
95	-2.25112	-0.921841	0.632796	-0.662544	0.854279	-0.200949	0
96	-2.25112	-0.921841	0.632796	-0.22447	-0.0114167	-0.645712	0
97	-2.25112	-0.921841	0.632796	-0.22447	-0.0114167	-0.200949	0
98	-2.25112	-0.921841	0.632796	-0.22447	-0.0114167	0.243815	0
99	-2.25112	-0.921841	0.632796	-0.22447	0.421431	-0.645712	0
100	-2.25112	-0.921841	0.632796	-0.22447	0.421431	0.243815	0
101	-2.25112	-0.921841	0.632796	-0.22447	0.854279	-0.645712	0
102	-2.25112	-0.921841	0.632796	-0.22447	0.854279	-0.200949	0
103	-2.25112	-0.921841	0.632796	-0.22447	0.854279	0.243815	0
104	-2.25112	-0.921841	0.632796	0.213603	-0.0114167	-0.200949	0
105	-2.25112	-0.921841	0.632796	0.213603	-0.0114167	0.243815	0
106	-2.25112	-0.921841	0.632796	0.213603	0.421431	-0.200949	0
107	-2.25112	-0.921841	0.632796	0.213603	0.421431	0.688578	0
108	-2.25112	-0.921841	0.632796	0.213603	0.854279	-0.200949	0
109	-2.25112	-0.921841	0.632796	0.213603	0.854279	0.243815	0
110	-2.25112	-0.921841	0.632796	0.213603	0.854279	0.688578	0
111	-2.25112	-0.921841	0.632796	0.651676	-0.0114167	0.243815	0
112	-2.25112	-0.921841	0.632796	0.651676	0.421431	0.243815	0
113	-2.25112	-0.921841	0.632796	0.651676	0.854279	0.243815	0
114	-2.25112	-0.921841	0.632796	0.651676	0.854279	0.688578	0
115	-2.25112	-0.921841	0.632796	0.651676	0.854279	1.13334	0
116	-2.25112	-0.921841	0.632796	1.08975	0.854279	0.688578	0
117	-2.25112	-0.921841	1.06794	-1.53869	0.421431	-1.53524	0
118	-2.25112	-0.921841	1.06794	-1.53869	0.421431	-1.09048	0
119	-2.25112	-0.921841	1.06794	-1.53869	0.854279	-1.09048	0
120	-2.25112	-0.921841	1.06794	-1.53869	1.28713	-1.53524	0
121	-2.25112	-0.921841	1.06794	-1.53869	1.28713	-1.09048	0
122	-2.25112	-0.921841	1.06794	-1.10062	0.421431	-1.53524	0
123	-2.25112	-0.921841	1.06794	-1.10062	0.421431	-1.09048	0
124	-2.25112	-0.921841	1.06794	-1.10062	0.421431	-0.645712	0
125	-2.25112	-0.921841	1.06794	-1.10062	0.854279	-1.53524	0
126	-2.25112	-0.921841	1.06794	-1.10062	0.854279	-0.645712	0
127	-2.25112	-0.921841	1.06794	-1.10062	1.28713	-1.53524	0
128	-2.25112	-0.921841	1.06794	-1.10062	1.28713	-1.09048	0
129	-2.25112	-0.921841	1.06794	-1.10062	1.28713	-0.645712	0
130	-2.25112	-0.921841	1.06794	-0.662544	0.421431	-1.09048	0
131	-2.25112	-0.921841	1.06794	-0.662544	0.421431	-0.645712	0
132	-2.25112	-0.921841	1.06794	-0.662544	0.421431	-0.200949	0
133	-2.25112	-0.921841	1.06794	-0.662544	0.854279	-1.09048	0
134	-2.25112	-0.921841	1.06794	-0.662544	0.854279	-0.200949	0
135	-2.25112	-0.921841	1.06794	-0.662544	1.28713	-1.09048	0
136	-2.25112	-0.921841	1.06794	-0.662544	1.28713	-0.645712	0
137	-2.25112	-0.921841	1.06794	-0.662544	1.28713	-0.200949	0
138	-2.25112	-0.921841	1.06794	-0.22447	0.421431	-0.645712	0
139	-2.25112	-0.921841	1.06794	-0.22447	0.421431	-0.200949	0
