	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	estado
1	-1.17996	-2.18895	1.34753	2.29634	1.57089	-0.17955	-0.87466	-1.43913	-1.03637	-2.10934	-0.00478	0.30898	0.01522	-0.13946	0.77118	-0.16201	0.62597	-0.06150	0.15432	0.95364	0.01909	0.32758	-0.01440	-0.11850	0.76322	v/at
2	-1.39280	-1.15454	0.05782	0.90960	2.55461	0.68114	-0.85951	-1.15411	-1.21577	-2.19800	-0.09439	-0.02688	0.30464	-0.29107	0.56024	-0.14131	-0.07043	0.28141	-0.32434	0.53481	0.02364	-0.12631	0.30713	-0.38094	0.41931	v/at
3	0.49705	-0.23938	0.69642	0.86823	-0.62190	-0.94980	-0.71947	0.32353	0.25993	0.44244	0.81162	1.68494	-2.37767	1.81944	0.96745	0.72268	2.17100	-2.98418	2.66376	0.99769	0.79992	1.65022	-2.39349	1.87498	0.96635	v/at
4	-2.02139	-1.05145	-2.80647	-1.96555	-2.29343	1.19910	1.77727	2.44668	4.96506	-0.93721	2.27417	-1.01250	0.46192	-0.61376	-2.23076	2.82633	-0.18241	-0.53748	-0.31073	-1.66519	2.34329	-0.81271	0.41261	-0.59008	-1.72641	hid
5	-0.95019	-1.42960	1.13917	1.68626	0.73167	-0.54206	-0.73326	-0.17855	-0.37867	-1.40748	0.20030	0.73062	-0.95950	0.47371	0.74898	0.29060	1.17451	-1.46129	1.00414	0.90509	0.19760	0.73979	-1.01399	0.51431	0.74055	v/at
6	-0.78768	-1.14993	0.68436	1.31366	1.12685	0.62809	-0.08874	-1.82052	-1.10066	-1.57513	-0.01262	-0.28963	0.42204	-0.44852	0.34155	-0.27009	-0.30943	0.50285	-0.47874	0.40012	0.05320	-0.35400	0.48422	-0.48733	0.26217	v/at
7	0.51093	-0.67916	1.14997	1.11990	-0.08594	-0.06989	0.04304	-1.12316	-0.90899	-0.33970	0.14574	-0.23705	0.34863	-0.37263	0.37029	0.07797	-0.27375	0.56652	-0.46822	0.41521	0.33164	-0.34334	0.45709	-0.45796	0.27479	v/at
8	-1.49739	-2.45195	0.65360	1.62217	2.14988	0.71945	-0.44530	-1.62844	-1.17570	-2.57375	-0.55497	-0.35967	0.42984	-0.50623	0.26200	-0.76513	-0.24769	0.55468	-0.47912	0.46054	-0.50630	-0.42343	0.50314	-0.53843	0.17613	v/at
9	-0.22776	-0.14381	-0.36324	0.41269	-0.45746	-0.94892	-0.34735	1.26954	0.96727	0.09824	0.76341	0.56620	-1.25727	0.54915	0.34195	1.08731	1.27648	-3.09282	1.73830	0.31386	0.71519	0.64472	-1.45592	0.66066	0.28238	v/at
10	0.98339	0.13191	0.90220	1.09560	-0.16576	-1.57256	-1.32373	-0.06179	-0.08333	0.87746	0.92254	1.46511	-2.17535	1.66531	1.01158	0.80730	1.22785	-2.10460	1.57311	0.99505	0.93327	1.19695	-1.83721	1.34036	0.93204	v/at
11	-1.65552	-0.62696	-2.08472	-1.52103	-0.79331	0.57896	1.56802	2.35582	1.92165	-0.07257	2.02779	-1.02251	0.52419	-0.64055	-1.87900	1.05040	-0.83199	0.37381	-0.64511	-0.87571	1.48691	-0.88231	0.46642	-0.61329	-1.50285	hid
12	-0.28688	-0.36082	0.69425	0.10700	0.16020	0.61078	0.41968	-0.99481	-0.69495	-0.29655	-1.91219	-0.56182	0.41424	-0.50464	-0.04838	-1.55620	-0.81833	0.51548	-0.67603	-0.39855	-2.37632	-0.53992	0.48324	-0.53493	-0.01339	v/at
13	-0.11393	0.12544	-0.04254	-0.58260	-0.02268	0.34992	0.97666	-0.04960	-0.41609	0.17279	-1.72509	-0.90328	0.65499	-0.64098	-0.93481	-1.31862	-1.01722	0.67975	-0.75583	-1.08604	-1.95610	-0.94706	0.70969	-0.67567	-1.05425	ac
14	-1.21625	-1.46308	-0.46322	-0.29329	0.51937	0.42884	0.69391	0.46581	0.37124	-0.81102	-2.41950	-0.84428	0.32228	-0.53176	-1.12757	-1.96266	-0.96984	0.36218	-0.65306	-1.33335	-2.68673	-0.71233	0.08835	-0.34944	-1.03485	ac
15	0.03906	-0.37121	0.63413	-0.40268	-1.37480	-0.50613	0.98033	1.20082	0.48138	0.94468	-2.23071	-1.02347	0.57528	-0.64594	-1.60016	-1.79151	-1.11285	0.62101	-0.76099	-1.80465	-2.55732	-1.00695	0.63162	-0.66777	-1.55696	ac
16	-0.72603	1.53223	0.08853	-1.40313	-1.56849	0.59609	1.32964	1.60693	0.27516	0.85304	-2.63939	-1.03319	0.62529	-0.65281	-1.78366	-2.32291	-1.11108	0.66338	-0.76394	-1.93203	-2.94169	-1.02804	0.69059	-0.67917	-1.71783	ac
