	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	clase
1	1.07016	1.02665	-0.58294	-1.49146	-0.94006	-1.30052	-1.24142	1.42937	1.38338	1.33981	2.17072	-0.05649	-1.22554	0.11768	0.16550	0.89017	-0.12779	-1.26783	0.06815	-0.30702	-0.88704	-0.27407	-0.34611	-0.23869	-0.10040	sn
2	0.86570	1.00756	-0.04263	-1.06410	-0.81237	-1.01269	-0.36678	0.91285	1.02143	0.91166	0.04996	-0.72479	0.15595	-0.54188	-0.78451	-0.51723	-0.70993	0.15542	-0.56857	-0.79091	-1.53079	-0.75422	0.37938	-0.55003	-0.96151	sn
3	0.47093	0.83200	-0.08101	-0.90719	-0.73869	-0.91312	-0.43273	1.03059	0.81253	0.92884	0.71333	-0.81266	0.09852	-0.59641	-0.92475	0.45643	-0.84283	0.12016	-0.59073	-1.34067	-0.67277	-0.83493	0.35846	-0.55345	-1.39340	cn
4	0.69341	0.44123	0.13036	-0.17591	-0.27296	-0.02061	-0.23128	0.06272	0.07576	0.02032	0.69161	0.43899	-0.29586	0.44854	0.86837	0.08375	0.51864	-1.43403	0.70558	0.74727	-0.94642	0.61443	-1.53314	0.88093	0.75074	sn
5	-0.03657	-0.06938	1.81707	1.01172	-0.13367	0.24033	0.24197	-0.52450	-0.59592	-0.46904	0.91030	3.09945	-3.28660	3.60816	1.80325	-0.52542	1.99604	-0.65679	1.92946	1.74864	-1.28661	2.14272	-1.41468	2.07330	1.94842	sn
6	-0.25371	-0.43617	2.10584	1.55967	0.13045	0.46557	0.57629	-0.95037	-1.08807	-0.80164	0.56467	2.36881	-0.89908	1.94601	1.84353	-0.78039	1.78538	-0.11308	1.27887	1.75923	-1.45368	1.98537	-0.65124	1.40660	1.96537	sn
7	0.69454	0.86219	-0.31726	-1.22938	-0.80718	-1.11270	-0.59999	1.27023	1.01279	1.13642	0.16010	-0.92489	-0.19041	-0.56253	-1.49677	-0.10499	-0.79984	-0.11035	-0.48381	-1.50510	-1.28120	-0.78430	0.17931	-0.47182	-1.45724	sn
8	-0.40685	-0.36252	1.65469	1.48635	0.13217	0.42397	0.21842	-1.03395	-1.08869	-0.56078	0.46573	1.67732	-0.81414	1.12074	1.76722	-0.88110	1.74384	-0.12937	1.27921	1.76164	-1.76367	1.51702	-0.16951	0.83004	1.79638	sn
9	0.96230	0.99405	-0.84117	-1.44123	-0.86914	-1.28934	-1.28925	1.42930	1.59083	1.26319	3.39267	-0.59090	-0.97852	-0.03506	-3.24131	1.96794	-0.13397	-1.02625	0.15025	-0.15814	0.39616	-0.41262	-0.45529	-0.10150	-0.66758	sn
10	0.36395	0.11780	0.94935	0.06798	-0.23163	-0.05043	0.22310	-0.07128	-0.52005	0.08386	0.75031	-0.17125	-0.02480	-0.26531	0.44971	-0.22007	0.21282	-0.76076	0.03790	0.73849	-1.08861	0.21118	-0.57618	0.04560	0.67935	sn
11	0.64245	0.78162	-0.50309	-1.10998	-0.78166	-1.07552	-0.89346	1.18350	1.19099	1.11653	0.83997	-0.37022	0.10429	-0.35292	-0.31291	0.34453	-0.72388	-0.03755	-0.48681	-0.97671	-0.54570	-0.70826	0.14056	-0.41240	-1.05732	cn
12	0.63972	0.77690	-0.15069	-1.27901	-0.80959	-1.09346	-0.68228	1.18029	1.18954	1.13851	1.08216	-0.99160	-0.06610	-0.63791	-1.65477	0.60111	-0.86089	0.02161	-0.57470	-1.74464	-0.30774	-0.84541	0.29593	-0.54331	-1.66151	sn
13	0.16257	0.42808	0.39704	-0.31539	-0.34868	-0.23804	-0.02512	0.32258	0.16302	0.28369	0.51032	0.05140	-0.28197	-0.03644	0.56096	-0.10503	-0.41497	-0.16466	-0.37779	0.07335	-1.22003	-0.45693	0.09301	-0.37213	-0.11504	cn
14	0.26077	0.42447	0.40371	-0.20382	-0.36541	-0.29979	0.12305	0.11550	0.13146	0.29696	0.60850	-0.50249	0.11795	-0.39547	-0.24136	0.17301	-0.57123	0.04458	-0.42462	-0.36889	-0.77220	-0.57730	0.22404	-0.40411	-0.45055	cn
15	0.68893	0.71944	-0.35317	-0.99615	-0.73244	-0.93015	-1.04994	1.19692	0.83245	1.04099	-0.30179	-0.86029	0.15327	-0.59728	-1.31259	-0.59148	-0.85936	0.16550	-0.60215	-1.59112	-1.73295	-0.82677	0.38425	-0.55880	-1.39955	sn
16	-0.02415	-0.04738	1.88489	0.91494	-0.12270	0.34078	0.82135	-0.57979	-0.86885	-0.51048	0.57367	1.94336	-0.80570	1.34532	1.79901	-0.93457	1.10980	0.19757	0.55303	1.51092	-1.61989	1.25875	-0.09395	0.60122	1.68042	sn
17	0.41547	0.65939	0.12210	-0.75545	-0.66832	-0.66725	-0.21484	0.81316	0.58334	0.76121	0.33602	-0.01643	0.22872	0.26294	-0.62221	0.01370	-0.16282	-0.12986	0.10194	-0.74999	-1.06832	-0.28826	-0.06775	-0.09413	-0.56300	sn
