	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	estado
1	-0.06036	-0.36485	-0.66306	0.02608	0.32557	1.15640	1.17385	1.19597	-0.70046	-0.71993	-0.79384	2.17072	-0.05649	-1.22554	0.11768	0.16550	0.89017	-0.12779	-1.26783	0.06815	-0.30702	-0.88704	-0.27407	-0.34611	-0.23869	-0.10040	-0.23757	-0.76362	-0.86166	-0.87460	-0.88326	-0.88808	hid
2	0.42192	-0.79193	-0.67851	-0.72873	0.21582	-0.58214	-0.48771	-0.34050	-0.34976	-0.74605	-0.64482	0.04996	-0.72479	0.15595	-0.54188	-0.78451	-0.51723	-0.70993	0.15542	-0.56857	-0.79091	-1.53079	-0.75422	0.37938	-0.55003	-0.96151	-0.12055	-0.65730	-0.81197	-0.83700	-0.85572	-0.87222	ac
3	0.53158	-1.04342	-0.77470	-0.81355	0.31431	0.33005	0.33857	0.31688	-0.62034	-0.57511	-0.46856	0.71333	-0.81266	0.09852	-0.59641	-0.92475	0.45643	-0.84283	0.12016	-0.59073	-1.34067	-0.67277	-0.83493	0.35846	-0.55345	-1.39340	-0.18523	-0.79424	-0.92049	-0.92331	-0.92796	-0.93089	ac
4	-0.63664	0.82635	0.76096	0.42355	-0.55966	0.13522	0.13418	0.16489	-0.03340	0.12884	0.27046	0.69161	0.43899	-0.29586	0.44854	0.86837	0.08375	0.51864	-1.43403	0.70558	0.74727	-0.94642	0.61443	-1.53314	0.88093	0.75074	0.52241	0.59789	0.57373	0.57185	0.58028	0.60809	v/at
5	-0.86084	1.86932	3.22462	1.96095	-1.11525	-0.11210	-0.18740	-0.26515	1.46736	3.30366	4.12669	0.91030	3.09945	-3.28660	3.60816	1.80325	-0.52542	1.99604	-0.65679	1.92946	1.74864	-1.28661	2.14272	-1.41468	2.07330	1.94842	1.04478	1.71954	2.19247	2.40037	2.44043	2.38863	v/at
6	-0.89618	1.96365	2.92443	1.73767	-1.37984	-0.43697	-0.49795	-0.57943	2.11280	1.77458	3.19870	0.56467	2.36881	-0.89908	1.94601	1.84353	-0.78039	1.78538	-0.11308	1.27887	1.75923	-1.45368	1.98537	-0.65124	1.40660	1.96537	1.26862	2.14499	2.59052	2.68657	2.66834	2.60713	v/at
7	0.85527	-1.24954	-0.77901	-0.79244	0.44444	-0.29999	-0.28825	-0.35860	-0.76386	-0.75842	-0.76918	0.16010	-0.92489	-0.19041	-0.56253	-1.49677	-0.10499	-0.79984	-0.11035	-0.48381	-1.50510	-1.28120	-0.78430	0.17931	-0.47182	-1.45724	-0.31747	-0.94796	-1.03725	-1.03224	-1.04000	-1.05180	ac
8	-0.88028	1.81386	2.19400	1.57315	-1.27052	-0.57099	-0.61287	-0.69295	1.85904	1.50939	2.51990	0.46573	1.67732	-0.81414	1.12074	1.76722	-0.88110	1.74384	-0.12937	1.27921	1.76164	-1.76367	1.51702	-0.16951	0.83004	1.79638	1.18041	1.93061	2.28044	2.33842	2.30340	2.25414	v/at
9	0.37447	-0.59130	-0.58624	-0.20255	0.51194	2.64820	2.67110	2.67974	-0.62065	-0.51247	-0.60657	3.39267	-0.59090	-0.97852	-0.03506	-3.24131	1.96794	-0.13397	-1.02625	0.15025	-0.15814	0.39616	-0.41262	-0.45529	-0.10150	-0.66758	-0.50342	-0.89653	-0.92507	-0.91450	-0.91026	-0.90580	hid
10	-0.65601	0.74138	0.25689	0.06746	-0.72996	-0.09545	-0.07777	-0.00004	1.13544	0.20071	0.20341	0.75031	-0.17125	-0.02480	-0.26531	0.44971	-0.22007	0.21282	-0.76076	0.03790	0.73849	-1.08861	0.21118	-0.57618	0.04560	0.67935	0.70912	0.83644	0.69848	0.59862	0.59189	0.58457	v/at
11	0.33190	-0.79369	-0.68739	-0.61025	0.39107	0.30721	0.31232	0.29824	-0.37944	-0.62274	-0.60244	0.83997	-0.37022	0.10429	-0.35292	-0.31291	0.34453	-0.72388	-0.03755	-0.48681	-0.97671	-0.54570	-0.70826	0.14056	-0.41240	-1.05732	-0.30081	-0.82864	-0.92091	-0.92478	-0.94342	-0.95199	ac
12	1.16023	-1.37326	-0.74467	-0.89139	0.38081	0.57900	0.55172	0.57779	-0.38672	-0.76249	-0.58631	1.08216	-0.99160	-0.06610	-0.63791	-1.65477	0.60111	-0.86089	0.02161	-0.57470	-1.74464	-0.30774	-0.84541	0.29593	-0.54331	-1.66151	-0.28929	-0.86029	-0.97484	-0.96397	-0.98332	-1.00278	ac
13	-0.44564	0.13087	-0.33187	-0.28349	-0.21660	-0.14076	-0.16819	-0.19384	-0.40394	-0.38961	-0.47823	0.51032	0.05140	-0.28197	-0.03644	0.56096	-0.10503	-0.41497	-0.16466	-0.37779	0.07335	-1.22003	-0.45693	0.09301	-0.37213	-0.11504	0.22280	-0.01005	-0.17975	-0.20627	-0.19800	-0.18811	v/at
14	-0.17374	-0.20901	-0.41234	-0.56192	-0.15894	0.11362	0.18783	0.23511	-0.60331	-0.44872	-0.28187	0.60850	-0.50249	0.11795	-0.39547	-0.24136	0.17301	-0.57123	0.04458	-0.42462	-0.36889	-0.77220	-0.57730	0.22404	-0.40411	-0.45055	0.19560	-0.08941	-0.24123	-0.29589	-0.30830	-0.29718	ac
15	1.12031	-1.23293	-0.72930	-0.84998	0.44900	-0.77718	-0.73668	-0.66315	-0.42756	-0.78077	-0.64565	-0.30179	-0.86029	0.15327	-0.59728	-1.31259	-0.59148	-0.85936	0.16550	-0.60215	-1.59112	-1.73295	-0.82677	0.38425	-0.55880	-1.39955	-0.36304	-0.85503	-0.94258	-0.93569	-0.96243	-1.00257	ac
16	-0.86138	1.65468	1.88869	1.16228	-1.16160	-0.57305	-0.60954	-0.66708	0.17344	1.60573	2.03959	0.57367	1.94336	-0.80570	1.34532	1.79901	-0.93457	1.10980	0.19757	0.55303	1.51092	-1.61989	1.25875	-0.09395	0.60122	1.68042	1.08308	1.72638	1.98023	2.01165	1.99716	1.99097	v/at
17	0.38692	-0.56139	-0.32411	-0.07077	0.08684	-0.08721	-0.03884	0.20642	0.04525	-0.54553	-0.29884	0.33602	-0.01643	0.22872	0.26294	-0.62221	0.01370	-0.16282	-0.12986	0.10194	-0.74999	-1.06832	-0.28826	-0.06775	-0.09413	-0.56300	-0.05291	-0.43471	-0.53698	-0.52741	-0.55783	-0.59585	ac
