	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	clase
1	1.6503	1.3705	1.24022	0.61215	1.09141	0.811008	0.410491	-0.185981	1.11399	0.827105	0.181463	0.0310878	2.31563	1.85499	2.01258	1.08212	1.68667	1.25193	1.12146	0.126429	1.11989	0.86985	0.298817	-0.078187	2.39933	1.85908	2.07618	1.1293	1.40143	1.64675	1.72127	0.916687	1.13136	1.04762	0.836604	0.233683	2
2	1.06421	0.798446	0.400495	-0.190184	1.09141	0.811008	0.169927	0.0277598	0.81765	0.827105	0.181463	-0.18119	1.65664	1.24058	1.11377	0.124779	1.09675	0.8575	0.284463	-0.0858415	1.11989	0.69461	0.298817	-0.236718	1.37353	1.63949	1.71693	0.917483	1.10588	1.03304	0.825281	0.230303	1.13136	0.696169	0.296412	-0.189698	2
3	1.06421	0.798446	0.160574	0.0237715	0.796257	0.811008	0.169927	-0.185981	1.11399	0.476432	0.181463	-0.18119	1.07087	0.845609	0.274868	-0.0879627	1.09675	0.682198	0.284463	-0.245044	1.11989	0.69461	0.298817	-0.078187	1.08044	1.02461	0.818806	0.229081	1.10588	0.682346	0.287687	-0.192088	1.13136	0.696169	0.296412	-0.189698	2
4	0.771159	0.798446	0.160574	-0.190184	1.09141	0.460313	0.169927	-0.185981	0.81765	0.476432	-0.0583963	-0.340398	1.07087	0.670065	0.274868	-0.247519	1.09675	0.682198	0.284463	-0.0858415	0.525788	0.69461	0.298817	-0.078187	1.08044	0.673259	0.279933	-0.194551	1.10588	0.682346	0.287687	-0.192088	1.13136	0.871895	0.296412	-0.189698	2
5	1.06421	0.446412	0.160574	-0.190184	0.796257	0.460313	-0.0706369	-0.346286	0.81765	0.827105	0.181463	-0.18119	1.07087	0.670065	0.274868	-0.0879627	0.506834	0.682198	0.284463	-0.0858415	0.525788	0.69461	0.538054	0.133187	1.08044	0.673259	0.279933	-0.194551	1.10588	0.857691	0.287687	-0.192088	0.759272	1.04762	0.596519	0.233683	2
6	0.771159	0.446412	-0.079347	-0.350651	0.796257	0.811008	0.169927	-0.185981	0.521307	0.827105	0.181463	-0.18119	0.485106	0.670065	0.274868	-0.0879627	0.506834	0.682198	0.523605	0.126429	0.525788	0.86985	1.13615	0.291718	1.08044	0.848937	0.279933	-0.194551	0.736434	1.03304	0.586351	0.230303	0.759272	1.04762	0.596519	0.233683	2
7	0.478111	0.798446	0.400495	0.0237715	0.501106	0.811008	0.410491	0.2415	0.81765	0.651768	0.421322	-0.18119	0.777989	1.02115	1.11377	0.284335	0.801793	1.25193	1.12146	0.285632	0.822841	1.04509	0.8371	0.133187	0.714082	1.02461	0.818806	0.229081	0.736434	0.857691	0.287687	0.0191076	0.759272	0.871895	0.296412	-0.189698	2
8	0.478111	0.798446	0.400495	0.237727	0.796257	0.63566	0.410491	-0.185981	0.521307	0.476432	0.181463	-0.340398	0.777989	1.24058	1.11377	0.284335	0.801793	1.0328	0.822532	0.126429	0.822841	0.519369	0.05958	-0.236718	0.714082	0.848937	0.279933	0.0172653	0.736434	0.857691	0.287687	-0.192088	0.759272	0.520443	0.0563267	-0.189698	2
9	0.478111	0.226391	-0.079347	-0.350651	0.501106	0.460313	-0.0706369	-0.346286	0.521307	0.651768	0.181463	-0.552675	0.777989	0.494521	0.274868	-0.46026	0.506834	0.331593	0.284463	-0.457315	0.525788	0.519369	0.05958	-0.236718	0.420995	0.321904	-0.199065	-0.406367	0.440881	0.331654	-0.190175	-0.614478	0.759272	0.16899	-0.363823	-0.613079	3
10	0.478111	0.446412	-0.079347	-0.350651	0.501106	0.63566	0.169927	-0.560027	0.521307	0.476432	-0.538114	-0.340398	0.485106	0.318977	0.274868	-0.46026	0.506834	0.506895	0.045321	-0.245044	0.525788	0.344129	0.05958	-0.448092	0.420995	0.321904	-0.199065	-0.618182	0.736434	0.156309	-0.369373	-0.614478	0.759272	0.16899	-0.363823	-0.824769	3
