@relation tic-tac-toe
@attribute 'f1' real
@attribute 'f2' real
@attribute 'f3' real
@attribute 'f4' real
@attribute 'f5' real
@attribute 'f6' real
@attribute 'f7' real
@attribute 'f8' real
@attribute 'f9' real
@attribute 'clase' {0,1}
@data
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,1.22296,-1.03463,1.22296,1.23091,1
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,1.22296,1.23091,-1.10625,1.23091,1
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,1.22296,1.23091,1.22296,-1.03463,1
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,1.22296,1.23091,0.0583518,0.098142,1
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,1.22296,0.098142,1.22296,0.098142,1
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,1.22296,0.098142,0.0583518,1.23091,1
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,0.0583518,1.23091,1.22296,0.098142,1
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,0.0583518,1.23091,0.0583518,1.23091,1
-1.03463,-1.10625,-1.03463,-1.10625,1.24135,0.0583518,0.098142,1.22296,1.23091,1
-1.03463,-1.10625,-1.03463,-1.10625,0.136133,1.22296,1.23091,1.22296,0.098142,1
-1.03463,-1.10625,-1.03463,-1.10625,0.136133,1.22296,1.23091,0.0583518,1.23091,1
-1.03463,-1.10625,-1.03463,-1.10625,0.136133,1.22296,0.098142,1.22296,1.23091,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,1.22296,-1.03463,1.22296,1.23091,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,1.22296,1.23091,-1.10625,1.23091,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,1.22296,1.23091,1.22296,-1.03463,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,1.22296,1.23091,0.0583518,0.098142,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,1.22296,0.098142,1.22296,0.098142,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,1.22296,0.098142,0.0583518,1.23091,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,0.0583518,1.23091,1.22296,0.098142,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,0.0583518,1.23091,0.0583518,1.23091,1
-1.03463,-1.10625,-1.03463,1.22296,-0.96908,0.0583518,0.098142,1.22296,1.23091,1
-1.03463,-1.10625,-1.03463,1.22296,1.24135,-1.10625,-1.03463,1.22296,1.23091,1
-1.03463,-1.10625,-1.03463,1.22296,1.24135,-1.10625,1.23091,-1.10625,1.23091,1
-1.03463,-1.10625,-1.03463,1.22296,1.24135,-1.10625,1.23091,1.22296,-1.03463,1
-1.03463,-1.10625,-1.03463,1.22296,1.24135,-1.10625,1.23091,0.0583518,0.098142,1
