n	lmb
100.0	16.0
50.0	0.0009765625
50.0	0.0009765625
100.0	2.0
200.0	0.5
850.0	0.0078125
300.0	32.0
150.0	0.0625
100.0	0.001953125
100.0	0.0625
200.0	0.0625
200.0	0.0078125
950.0	0.0009765625
800.0	0.0625
50.0	16.0
1150.0	0.25
200.0	4.0
200.0	32.0
150.0	32.0
100.0	0.0625
450.0	32.0
1250.0	0.0009765625
1200.0	8.0
150.0	16.0
200.0	0.0009765625
200.0	32.0
50.0	16.0
200.0	16.0
250.0	8.0
50.0	32.0
50.0	16.0
200.0	0.0078125
400.0	32.0
850.0	0.001953125
1350.0	2.0
200.0	32.0
250.0	0.001953125
100.0	0.125
900.0	8.0
1400.0	0.03125
150.0	0.0009765625
350.0	32.0
50.0	32.0
100.0	1.0
1200.0	0.001953125
400.0	0.0078125
550.0	32.0
500.0	0.0078125
100.0	0.0009765625
350.0	0.5
50.0	0.5
600.0	0.5
250.0	8.0
1450.0	8.0
150.0	32.0
450.0	1.0
100.0	16.0
600.0	0.0009765625
150.0	0.015625
850.0	0.25
1450.0	0.25
350.0	0.001953125
150.0	0.25
450.0	16.0
200.0	16.0
650.0	16.0
400.0	0.015625
1500.0	2.0
150.0	0.125
300.0	0.0009765625
1250.0	4.0
150.0	0.03125
350.0	32.0
50.0	0.0009765625
50.0	4.0
200.0	32.0
200.0	0.0078125
350.0	1.0
200.0	0.0009765625
100.0	4.0
550.0	0.0009765625
100.0	16.0
900.0	0.001953125
50.0	0.03125
200.0	32.0
200.0	1.0
500.0	0.0078125
400.0	0.5
500.0	0.125
1350.0	0.015625
200.0	0.0078125
1450.0	32.0
300.0	1.0
400.0	1.0
150.0	8.0
1400.0	0.25
300.0	0.5
1000.0	4.0
1100.0	0.125
350.0	4.0
150.0	32.0
50.0	0.0625
500.0	16.0
200.0	16.0
300.0	32.0
150.0	8.0
50.0	0.25
150.0	8.0
150.0	0.0009765625
50.0	16.0
1250.0	32.0
1450.0	0.125
1450.0	0.0078125
150.0	16.0
1450.0	0.125
300.0	32.0
150.0	8.0
1200.0	0.25
1500.0	0.001953125
1150.0	0.125
250.0	0.001953125
