n	ppc	beta
100.0	1.0	15.0
50.0	1.0	3.0
50.0	1.0	3.0
100.0	1.0	2.0
200.0	1.0	2.0
850.0	1.0	7.0
300.0	1.0	13.0
150.0	1.0	14.0
100.0	1.0	3.0
100.0	1.0	2.0
200.0	1.0	2.0
200.0	1.0	2.0
950.0	1.0	3.0
800.0	1.0	15.0
50.0	1.0	2.0
1150.0	1.0	3.0
200.0	1.0	2.0
200.0	1.0	15.0
150.0	1.0	2.0
100.0	1.0	7.0
450.0	1.0	15.0
1250.0	1.0	2.0
1200.0	1.0	14.0
150.0	1.0	14.0
200.0	1.0	2.0
200.0	1.0	15.0
50.0	1.0	13.0
200.0	1.0	15.0
250.0	1.0	14.0
50.0	1.0	4.0
50.0	1.0	15.0
200.0	1.0	11.0
400.0	1.0	15.0
850.0	1.0	2.0
1350.0	1.0	3.0
200.0	1.0	13.0
250.0	1.0	2.0
100.0	1.0	9.0
900.0	1.0	3.0
1400.0	1.0	4.0
150.0	1.0	12.0
350.0	1.0	9.0
50.0	1.0	2.0
100.0	1.0	15.0
1200.0	1.0	2.0
400.0	1.0	2.0
550.0	1.0	9.0
500.0	1.0	14.0
100.0	1.0	6.0
350.0	1.0	2.0
50.0	1.0	2.0
600.0	1.0	15.0
250.0	1.0	15.0
1450.0	1.0	15.0
150.0	1.0	12.0
450.0	1.0	11.0
100.0	1.0	4.0
600.0	1.0	3.0
150.0	1.0	2.0
850.0	1.0	2.0
1450.0	1.0	15.0
350.0	1.0	3.0
150.0	1.0	2.0
450.0	1.0	7.0
200.0	1.0	13.0
650.0	1.0	14.0
400.0	1.0	2.0
1500.0	1.0	15.0
150.0	1.0	2.0
300.0	1.0	11.0
1250.0	1.0	2.0
150.0	1.0	15.0
350.0	1.0	15.0
50.0	1.0	2.0
50.0	1.0	2.0
200.0	1.0	8.0
200.0	1.0	15.0
350.0	1.0	2.0
200.0	1.0	3.0
100.0	1.0	4.0
550.0	1.0	15.0
100.0	1.0	2.0
900.0	1.0	7.0
50.0	1.0	2.0
200.0	1.0	6.0
200.0	1.0	13.0
500.0	1.0	13.0
400.0	1.0	2.0
500.0	1.0	12.0
1350.0	1.0	15.0
200.0	1.0	15.0
1450.0	1.0	15.0
300.0	1.0	10.0
400.0	1.0	2.0
150.0	1.0	5.0
1400.0	1.0	10.0
300.0	1.0	2.0
1000.0	1.0	2.0
1100.0	1.0	9.0
350.0	1.0	15.0
150.0	1.0	13.0
50.0	1.0	2.0
500.0	1.0	15.0
200.0	1.0	15.0
300.0	1.0	13.0
150.0	1.0	13.0
50.0	1.0	2.0
150.0	1.0	12.0
150.0	1.0	11.0
50.0	1.0	12.0
1250.0	1.0	10.0
1450.0	1.0	2.0
1450.0	1.0	15.0
150.0	1.0	15.0
1450.0	1.0	15.0
300.0	1.0	14.0
150.0	1.0	9.0
1200.0	1.0	13.0
1500.0	1.0	10.0
1150.0	1.0	9.0
250.0	1.0	2.0
