n	lmb	kappa
1450.0	32.0	15.0
50.0	0.0009765625	1.0
50.0	0.0009765625	1.0
1150.0	0.0625	3.0
1150.0	0.015625	7.0
1400.0	0.0009765625	7.0
950.0	16.0	3.0
50.0	32.0	7.0
50.0	0.0009765625	1.0
200.0	0.001953125	7.0
50.0	16.0	7.0
50.0	32.0	1.0
650.0	16.0	3.0
1500.0	2.0	3.0
1450.0	0.015625	3.0
1300.0	0.125	1.0
250.0	32.0	3.0
1350.0	0.0009765625	3.0
900.0	0.0078125	15.0
800.0	4.0	1.0
1350.0	0.015625	3.0
100.0	32.0	15.0
1100.0	0.015625	3.0
1350.0	8.0	3.0
1100.0	0.5	3.0
50.0	8.0	7.0
200.0	32.0	7.0
1100.0	0.0009765625	7.0
900.0	8.0	3.0
250.0	32.0	15.0
350.0	32.0	3.0
650.0	0.125	3.0
1000.0	0.0625	7.0
150.0	32.0	7.0
900.0	32.0	15.0
1400.0	0.03125	3.0
100.0	32.0	3.0
50.0	16.0	1.0
50.0	32.0	15.0
50.0	16.0	15.0
50.0	8.0	15.0
1350.0	0.125	15.0
1300.0	0.03125	1.0
150.0	0.015625	1.0
850.0	32.0	1.0
1200.0	0.25	7.0
650.0	8.0	1.0
1150.0	0.001953125	1.0
50.0	4.0	3.0
50.0	0.0009765625	7.0
50.0	0.03125	1.0
1500.0	32.0	1.0
1250.0	0.125	3.0
1400.0	8.0	7.0
450.0	0.0009765625	1.0
1150.0	32.0	1.0
800.0	16.0	3.0
150.0	16.0	7.0
650.0	0.0625	15.0
1250.0	32.0	1.0
1000.0	8.0	15.0
50.0	4.0	3.0
400.0	32.0	1.0
50.0	4.0	15.0
150.0	0.25	3.0
1300.0	0.001953125	7.0
1150.0	0.0078125	7.0
1000.0	32.0	3.0
1500.0	1.0	7.0
1500.0	0.0625	7.0
1450.0	0.00390625	3.0
1450.0	2.0	7.0
1100.0	32.0	7.0
50.0	0.00390625	1.0
800.0	0.001953125	1.0
1200.0	0.5	1.0
1500.0	0.125	1.0
50.0	32.0	1.0
100.0	8.0	1.0
1200.0	0.5	1.0
450.0	4.0	7.0
1000.0	16.0	1.0
50.0	32.0	7.0
50.0	32.0	1.0
1350.0	2.0	7.0
1450.0	0.25	3.0
1500.0	4.0	7.0
50.0	32.0	15.0
950.0	32.0	3.0
1500.0	0.125	3.0
550.0	32.0	1.0
1400.0	32.0	15.0
850.0	1.0	3.0
1350.0	0.0078125	15.0
50.0	32.0	1.0
1100.0	0.25	15.0
200.0	32.0	15.0
500.0	32.0	15.0
50.0	32.0	7.0
950.0	0.125	1.0
1500.0	16.0	3.0
100.0	0.125	7.0
1450.0	0.125	7.0
1500.0	0.0078125	3.0
1350.0	16.0	3.0
400.0	32.0	3.0
300.0	0.001953125	7.0
750.0	8.0	1.0
50.0	0.0009765625	1.0
100.0	16.0	1.0
1100.0	0.0078125	15.0
250.0	32.0	3.0
200.0	32.0	15.0
1200.0	0.00390625	3.0
1400.0	8.0	7.0
1300.0	0.0009765625	15.0
850.0	32.0	1.0
1100.0	32.0	1.0
950.0	8.0	3.0
1350.0	4.0	1.0
400.0	8.0	7.0
