beta	lmb	n	ppc	kappa
15	32.0	1450.0	1	15.0
5	0.0009765625	50.0	1	1.0
2	0.0009765625	50.0	1	1.0
15	0.0625	1150.0	1	3.0
15	0.015625	1150.0	1	7.0
12	0.0009765625	1400.0	1	7.0
13	16.0	950.0	1	3.0
15	32.0	50.0	1	7.0
7	0.0009765625	50.0	1	1.0
14	0.001953125	200.0	1	7.0
10	16.0	50.0	1	7.0
13	32.0	50.0	1	1.0
3	16.0	650.0	1	3.0
15	2.0	1500.0	1	3.0
7	0.015625	1450.0	1	3.0
2	0.125	1300.0	1	1.0
15	32.0	250.0	1	3.0
15	0.0009765625	1350.0	1	3.0
15	0.0078125	900.0	1	15.0
15	4.0	800.0	1	1.0
14	0.015625	1350.0	1	3.0
1	32.0	100.0	1	15.0
13	0.015625	1100.0	1	3.0
15	8.0	1350.0	1	3.0
1	0.5	1100.0	1	3.0
15	8.0	50.0	1	7.0
13	32.0	200.0	1	7.0
15	0.0009765625	1100.0	1	7.0
15	8.0	900.0	1	3.0
15	32.0	250.0	1	15.0
9	32.0	350.0	1	3.0
15	0.125	650.0	1	3.0
13	0.0625	1000.0	1	7.0
12	32.0	150.0	1	7.0
10	32.0	900.0	1	15.0
13	0.03125	1400.0	1	3.0
1	32.0	100.0	1	3.0
8	16.0	50.0	1	1.0
4	32.0	50.0	1	15.0
3	16.0	50.0	1	15.0
4	8.0	50.0	1	15.0
6	0.125	1350.0	1	15.0
6	0.03125	1300.0	1	1.0
11	0.015625	150.0	1	1.0
12	32.0	850.0	1	1.0
14	0.25	1200.0	1	7.0
15	8.0	650.0	1	1.0
14	0.001953125	1150.0	1	1.0
1	4.0	50.0	1	3.0
1	0.0009765625	50.0	1	7.0
5	0.03125	50.0	1	1.0
15	32.0	1500.0	1	1.0
13	0.125	1250.0	1	3.0
14	8.0	1400.0	1	7.0
4	0.0009765625	450.0	1	1.0
9	32.0	1150.0	1	1.0
15	16.0	800.0	1	3.0
14	16.0	150.0	1	7.0
15	0.0625	650.0	1	15.0
11	32.0	1250.0	1	1.0
15	8.0	1000.0	1	15.0
8	4.0	50.0	1	3.0
14	32.0	400.0	1	1.0
12	4.0	50.0	1	15.0
12	0.25	150.0	1	3.0
15	0.001953125	1300.0	1	7.0
15	0.0078125	1150.0	1	7.0
15	32.0	1000.0	1	3.0
15	1.0	1500.0	1	7.0
15	0.0625	1500.0	1	7.0
15	0.00390625	1450.0	1	3.0
15	2.0	1450.0	1	7.0
15	32.0	1100.0	1	7.0
1	0.00390625	50.0	1	1.0
15	0.001953125	800.0	1	1.0
13	0.5	1200.0	1	1.0
15	0.125	1500.0	1	1.0
13	32.0	50.0	1	1.0
9	8.0	100.0	1	1.0
7	0.5	1200.0	1	1.0
7	4.0	450.0	1	7.0
8	16.0	1000.0	1	1.0
5	32.0	50.0	1	7.0
1	32.0	50.0	1	1.0
8	2.0	1350.0	1	7.0
14	0.25	1450.0	1	3.0
10	4.0	1500.0	1	7.0
1	32.0	50.0	1	15.0
1	32.0	950.0	1	3.0
14	0.125	1500.0	1	3.0
12	32.0	550.0	1	1.0
14	32.0	1400.0	1	15.0
5	1.0	850.0	1	3.0
15	0.0078125	1350.0	1	15.0
8	32.0	50.0	1	1.0
15	0.25	1100.0	1	15.0
1	32.0	200.0	1	15.0
12	32.0	500.0	1	15.0
14	32.0	50.0	1	7.0
15	0.125	950.0	1	1.0
15	16.0	1500.0	1	3.0
15	0.125	100.0	1	7.0
14	0.125	1450.0	1	7.0
14	0.0078125	1500.0	1	3.0
14	16.0	1350.0	1	3.0
14	32.0	400.0	1	3.0
15	0.001953125	300.0	1	7.0
15	8.0	750.0	1	1.0
13	0.0009765625	50.0	1	1.0
7	16.0	100.0	1	1.0
14	0.0078125	1100.0	1	15.0
14	32.0	250.0	1	3.0
14	32.0	200.0	1	15.0
15	0.00390625	1200.0	1	3.0
15	8.0	1400.0	1	7.0
14	0.0009765625	1300.0	1	15.0
15	32.0	850.0	1	1.0
13	32.0	1100.0	1	1.0
14	8.0	950.0	1	3.0
5	4.0	1350.0	1	1.0
1	8.0	400.0	1	7.0
