beta	n	lmb	ppc
15	100.0	16.0	1
4	50.0	0.0009765625	1
2	50.0	0.0009765625	1
1	100.0	2.0	1
1	200.0	0.5	1
7	850.0	0.0078125	1
10	300.0	32.0	1
15	150.0	0.0625	1
11	100.0	0.001953125	1
1	100.0	0.0625	1
1	200.0	0.0625	1
1	200.0	0.0078125	1
3	950.0	0.0009765625	1
12	800.0	0.0625	1
1	50.0	16.0	1
3	1150.0	0.25	1
1	200.0	4.0	1
15	200.0	32.0	1
1	150.0	32.0	1
8	100.0	0.0625	1
15	450.0	32.0	1
1	1250.0	0.0009765625	1
14	1200.0	8.0	1
15	150.0	16.0	1
1	200.0	0.0009765625	1
15	200.0	32.0	1
13	50.0	16.0	1
11	200.0	16.0	1
13	250.0	8.0	1
3	50.0	32.0	1
14	50.0	16.0	1
13	200.0	0.0078125	1
9	400.0	32.0	1
1	850.0	0.001953125	1
3	1350.0	2.0	1
13	200.0	32.0	1
1	250.0	0.001953125	1
7	100.0	0.125	1
3	900.0	8.0	1
4	1400.0	0.03125	1
13	150.0	0.0009765625	1
8	350.0	32.0	1
1	50.0	32.0	1
2	100.0	1.0	1
13	1200.0	0.001953125	1
1	400.0	0.0078125	1
9	550.0	32.0	1
12	500.0	0.0078125	1
6	100.0	0.0009765625	1
1	350.0	0.5	1
4	50.0	0.5	1
15	600.0	0.5	1
14	250.0	8.0	1
15	1450.0	8.0	1
4	150.0	32.0	1
6	450.0	1.0	1
3	100.0	16.0	1
12	600.0	0.0009765625	1
1	150.0	0.015625	1
4	850.0	0.25	1
14	1450.0	0.25	1
4	350.0	0.001953125	1
1	150.0	0.25	1
7	450.0	16.0	1
15	200.0	16.0	1
14	650.0	16.0	1
1	400.0	0.015625	1
14	1500.0	2.0	1
1	150.0	0.125	1
12	300.0	0.0009765625	1
1	1250.0	4.0	1
15	150.0	0.03125	1
15	350.0	32.0	1
1	50.0	0.0009765625	1
1	50.0	4.0	1
14	200.0	32.0	1
15	200.0	0.0078125	1
1	350.0	1.0	1
2	200.0	0.0009765625	1
1	100.0	4.0	1
15	550.0	0.0009765625	1
1	100.0	16.0	1
6	900.0	0.001953125	1
1	50.0	0.03125	1
7	200.0	32.0	1
13	200.0	1.0	1
14	500.0	0.0078125	1
1	400.0	0.5	1
15	500.0	0.125	1
15	1350.0	0.015625	1
14	200.0	0.0078125	1
14	1450.0	32.0	1
10	300.0	1.0	1
1	400.0	1.0	1
9	150.0	8.0	1
10	1400.0	0.25	1
1	300.0	0.5	1
1	1000.0	4.0	1
9	1100.0	0.125	1
15	350.0	4.0	1
13	150.0	32.0	1
4	50.0	0.0625	1
15	500.0	16.0	1
15	200.0	16.0	1
15	300.0	32.0	1
12	150.0	8.0	1
1	50.0	0.25	1
9	150.0	8.0	1
6	150.0	0.0009765625	1
8	50.0	16.0	1
15	1250.0	32.0	1
1	1450.0	0.125	1
15	1450.0	0.0078125	1
15	150.0	16.0	1
15	1450.0	0.125	1
14	300.0	32.0	1
10	150.0	8.0	1
13	1200.0	0.25	1
15	1500.0	0.001953125	1
7	1150.0	0.125	1
1	250.0	0.001953125	1
