beta	kappa	n	ppc	sigma
5.0	15.0	1450.0	2.0	0.5
1.0	1.0	50.0	4.0	0.1
1.0	1.0	50.0	2.0	0.5
0.0	0.0	0.0	0.0	0.0
15.0	7.0	1150.0	5.0	0.2
15.0	7.0	1400.0	1.0	0.1
7.0	3.0	950.0	1.0	0.30000000000000004
14.0	7.0	50.0	1.0	0.5
7.0	1.0	50.0	3.0	0.1
13.0	7.0	200.0	2.0	0.1
6.0	7.0	50.0	2.0	0.2
8.0	1.0	50.0	3.0	0.5
5.0	3.0	650.0	5.0	0.9
15.0	3.0	1500.0	3.0	0.1
8.0	3.0	1450.0	1.0	0.1
3.0	1.0	1300.0	1.0	0.1
14.0	3.0	250.0	5.0	0.4
15.0	3.0	1350.0	3.0	0.30000000000000004
15.0	15.0	900.0	4.0	0.5
0.0	0.0	0.0	0.0	0.0
11.0	3.0	1350.0	5.0	0.1
1.0	15.0	100.0	1.0	0.1
7.0	3.0	1100.0	5.0	0.4
10.0	3.0	1350.0	5.0	1.0
0.0	0.0	0.0	0.0	0.0
9.0	7.0	50.0	3.0	0.1
4.0	7.0	200.0	2.0	0.2
14.0	7.0	1100.0	5.0	0.2
12.0	3.0	900.0	2.0	0.1
2.0	15.0	250.0	2.0	0.1
15.0	3.0	350.0	2.0	0.5
15.0	3.0	650.0	2.0	1.0
14.0	7.0	1000.0	4.0	0.5
7.0	7.0	150.0	3.0	0.1
9.0	15.0	900.0	1.0	0.6
6.0	3.0	1400.0	3.0	0.9
1.0	3.0	100.0	1.0	0.1
7.0	1.0	50.0	1.0	0.5
4.0	15.0	50.0	3.0	0.7999999999999999
1.0	15.0	50.0	5.0	0.1
6.0	15.0	50.0	4.0	0.1
5.0	15.0	1350.0	1.0	0.7
9.0	1.0	1300.0	2.0	0.5
15.0	1.0	150.0	4.0	0.5
14.0	1.0	850.0	1.0	0.2
6.0	7.0	1200.0	3.0	0.1
13.0	1.0	650.0	4.0	0.6
15.0	1.0	1150.0	1.0	0.6
1.0	3.0	50.0	1.0	0.1
1.0	7.0	50.0	1.0	0.6
4.0	1.0	50.0	4.0	0.4
0.0	0.0	0.0	0.0	0.0
14.0	3.0	1250.0	4.0	0.7999999999999999
12.0	7.0	1400.0	2.0	0.1
14.0	1.0	450.0	2.0	0.2
7.0	1.0	1150.0	3.0	0.1
0.0	0.0	0.0	0.0	0.0
12.0	7.0	150.0	1.0	0.7999999999999999
0.0	0.0	0.0	0.0	0.0
11.0	1.0	1250.0	1.0	0.2
15.0	15.0	1000.0	1.0	0.2
14.0	3.0	50.0	2.0	0.2
12.0	1.0	400.0	2.0	0.30000000000000004
11.0	15.0	50.0	1.0	0.2
15.0	3.0	150.0	5.0	0.6
13.0	7.0	1300.0	5.0	0.2
14.0	7.0	1150.0	5.0	0.4
0.0	0.0	0.0	0.0	0.0
15.0	7.0	1500.0	4.0	0.6
15.0	7.0	1500.0	2.0	0.7
13.0	3.0	1450.0	3.0	0.9
14.0	7.0	1450.0	2.0	0.7999999999999999
13.0	7.0	1100.0	2.0	1.0
1.0	1.0	50.0	1.0	0.1
15.0	1.0	800.0	3.0	0.7999999999999999
15.0	1.0	1200.0	4.0	0.7999999999999999
0.0	0.0	0.0	0.0	0.0
6.0	1.0	50.0	4.0	0.4
15.0	1.0	100.0	1.0	0.1
6.0	1.0	1200.0	2.0	0.7
8.0	7.0	450.0	1.0	0.1
14.0	1.0	1000.0	1.0	0.1
3.0	7.0	50.0	1.0	0.7
5.0	1.0	50.0	3.0	0.1
4.0	7.0	1350.0	1.0	1.1
6.0	3.0	1450.0	3.0	1.1
9.0	7.0	1500.0	1.0	0.5
1.0	15.0	50.0	1.0	0.1
9.0	3.0	950.0	1.0	0.7999999999999999
15.0	3.0	1500.0	4.0	1.0
10.0	1.0	550.0	2.0	0.1
14.0	15.0	1400.0	1.0	0.1
7.0	3.0	850.0	4.0	0.1
15.0	15.0	1350.0	5.0	0.4
7.0	1.0	50.0	4.0	0.1
14.0	15.0	1100.0	1.0	1.0
1.0	15.0	200.0	1.0	0.1
14.0	15.0	500.0	5.0	0.5
8.0	7.0	50.0	2.0	0.2
15.0	1.0	950.0	5.0	1.0
15.0	3.0	1500.0	5.0	1.0
0.0	0.0	0.0	0.0	0.0
13.0	7.0	1450.0	3.0	1.1
15.0	3.0	1500.0	5.0	0.30000000000000004
10.0	3.0	1350.0	5.0	0.7
15.0	3.0	400.0	1.0	0.9
15.0	7.0	300.0	4.0	0.1
11.0	1.0	750.0	5.0	0.4
8.0	1.0	50.0	3.0	0.2
2.0	1.0	100.0	4.0	0.1
14.0	15.0	1100.0	1.0	0.4
14.0	3.0	250.0	3.0	0.7
15.0	15.0	200.0	1.0	0.5
15.0	3.0	1200.0	5.0	0.7
14.0	7.0	1400.0	3.0	0.4
15.0	15.0	1300.0	2.0	0.1
15.0	1.0	850.0	2.0	0.1
10.0	1.0	1100.0	5.0	0.7999999999999999
9.0	3.0	950.0	5.0	1.1
5.0	1.0	1350.0	1.0	0.6
2.0	7.0	400.0	1.0	0.2
